  0.00 -15880.2469987      9.4535962
  0.50 -14639.6146769      9.3193966
  1.00 -14402.8747790      9.5048222
  1.50 -13475.1250518      9.6064529
  2.00 -14602.5174400      9.4488140
  2.50 -14192.3837740      9.7015545
  3.00 -14265.6674809      9.9115509
  3.50 -14083.5285414     10.0218326
  4.00 -13752.6837821      9.9064308
  4.50 -13966.6808283      9.6923789
  5.00 -15076.5361639      9.6337501
  5.50 -14683.9023656     10.1716273
  6.00 -14111.1692696      9.7925706
  6.50 -14127.4449358     10.1507477
  7.00 -15192.0288241     10.4173893
  7.50 -14847.4316358     10.1101010
  8.00 -14551.0064450     10.1710603
  8.50 -14668.6455012     10.5737891
  9.00 -15291.5784318     10.1914515
  9.50 -14669.9198797     10.4495723
 10.00 -15272.1273298      9.8710634
 10.50 -15412.7701049     10.0158704
 11.00 -15979.3940593     10.0366623
 11.50 -15954.0148366     10.4121338
 12.00 -15956.5624678      9.9395809
 12.50 -15628.3619902      9.9144032
 13.00 -15446.1526416      9.6709205
 13.50 -15990.9223433      9.9479530
 14.00 -16755.2416476     10.0379929
 14.50 -16842.4735743      9.6375846
 15.00 -15761.6480686      9.7624475
 15.50 -16460.5538064     10.0853764
 16.00 -16706.7909457     10.0158823
 16.50 -16052.5631158      9.8453022
 17.00 -16419.4297452      9.6676074
 17.50 -16689.5826648      9.8068133
 18.00 -16166.1923595      9.8130038
 18.50 -16735.8264805      9.6004213
 19.00 -16742.8761758      9.8151968
 19.50 -17546.4541644      9.6112719
 20.00 -17029.9721064      9.2670217
 20.50 -18141.5443746      9.4795806
 21.00 -16713.5177102      9.8029860
 21.50 -17155.9705813      9.4052602
 22.00 -16567.4724912      9.4508572
 22.50 -16998.0283766      9.9055641
 23.00 -17486.1825676      9.5771343
 23.50 -16761.3310861      9.2657388
 24.00 -17803.6825536      9.5119807
 24.50 -17001.8135608      9.3980426
 25.00 -17786.1791428      9.5384544
 25.50 -18510.0167887      9.3426458
 26.00 -17114.1884065      9.1149182
 26.50 -18112.3702498      9.4259763
 27.00 -18191.0089619      9.1694051
 27.50 -17243.3739021      9.2329009
 28.00 -18009.6447056      9.1107823
 28.50 -18347.3888698      9.2906679
 29.00 -17900.9678862      9.3010290
 29.50 -18416.3460038      9.0418623
 30.00 -17891.6148103      9.5025738
 30.50 -17631.2977090      9.0334423
 31.00 -17752.4893728      9.1856090
 31.50 -18162.5423294      9.4378970
 32.00 -19332.8434786      9.2287131
 32.50 -18619.7842092      9.2472485
 33.00 -18901.9721338      9.1569461
 33.50 -18870.5293166      9.1500705
 34.00 -18758.8056507      9.2167614
 34.50 -18648.1569674      8.9981678
 35.00 -18727.3687152      8.7570724
 35.50 -18567.0096563      9.1447226
 36.00 -19567.1019555      8.7365666
 36.50 -18302.2948409      9.0699649
 37.00 -18387.7810594      9.0475696
 37.50 -19390.1935056      9.1391084
 38.00 -18866.4475582      9.1550251
 38.50 -19493.2659726      8.9058418
 39.00 -19109.0508574      9.0629291
 39.50 -19403.2474235      8.9888037
 40.00 -19128.0272532      8.9057810
 40.50 -19810.9724384      8.9706291
 41.00 -20148.0889018      8.8821610
 41.50 -20024.1341854      8.9806388
 42.00 -19829.5067649      8.8642988
 42.50 -19154.5691819      8.8764304
 43.00 -19174.2212834      9.0982884
 43.50 -18973.6462841      9.0335878
 44.00 -19479.7223743      9.1742211
 44.50 -20692.2509867      8.7141158
 45.00 -20655.5812756      8.7327555
 45.50 -20546.5156280      8.8708214
 46.00 -19476.5711545      8.5423038
 46.50 -19268.7416242      8.6723699
 47.00 -19244.7343044      8.7469303
 47.50 -19872.0071815      8.6098455
 48.00 -20541.5975989      8.8612035
 48.50 -20282.1346436      8.7001307
 49.00 -19877.2317724      8.7065309
 49.50 -20521.6909773      8.7696500
 50.00 -21370.3912855      8.6563629
 50.50 -20371.0913890      8.8242970
 51.00 -20247.1452523      8.7465293
 51.50 -20715.7218528      8.6508483
 52.00 -21052.1666853      8.6485302
 52.50 -20920.7159948      8.7538861
 53.00 -20896.8397974      8.6845258
 53.50 -21334.6634517      8.5954352
 54.00 -20618.2644901      8.8148467
 54.50 -20936.1209331      8.4177690
 55.00 -20686.6513979      8.4905473
 55.50 -21527.8524324      8.4760490
 56.00 -20452.1871111      8.6793729
 56.50 -20894.3918040      8.5432848
 57.00 -21293.4577818      8.4845187
 57.50 -21360.2720508      8.5336105
 58.00 -21666.8632637      8.4903794
 58.50 -22145.3425098      8.5308344
 59.00 -22346.4316688      8.7063330
 59.50 -21366.7692974      8.4476712
 60.00 -22024.8785057      8.5979377
 60.50 -20673.0857087      8.4200441
 61.00 -20684.3740537      8.6025997
 61.50 -22265.4602758      8.3608278
 62.00 -21615.6460101      8.4493000
 62.50 -21800.7457191      8.2592119
 63.00 -21385.2358415      8.5335400
 63.50 -22208.7320866      8.5074497
 64.00 -21453.5254734      8.3540539
 64.50 -22011.8648462      8.3299394
 65.00 -21478.0951707      8.2135825
 65.50 -22434.9607326      8.2946021
 66.00 -21877.2559651      8.3566301
 66.50 -22131.4737414      8.4618994
 67.00 -22073.3944729      8.6046041
 67.50 -21841.4709022      8.3199721
 68.00 -22870.4208076      8.3845065
 68.50 -22989.7375448      8.2770214
 69.00 -21808.1966082      8.5221682
 69.50 -23248.3942191      8.3320953
 70.00 -23270.0469799      8.5328763
 70.50 -22167.8496021      8.3195487
 71.00 -23241.0249875      8.3071265
 71.50 -22513.2733806      8.4646093
 72.00 -21959.7453249      8.2974907
 72.50 -22923.1946657      8.3235794
 73.00 -23053.1084289      8.4036640
