 30.00 -12853.9823118      6.5167297
 29.99 -11327.4721183      6.3784482
 29.94 -11990.7294797      6.5026338
 29.87 -11289.5854505      6.5302997
 29.76 -11629.5998874      6.3981771
 29.63 -12521.9417361      6.4212905
 29.47 -11632.8377378      6.5060725
 29.28 -11649.1462066      6.4451182
 29.06 -11698.5416720      6.4172024
 28.81 -11895.9336573      6.4859932
 28.53 -11658.4321853      6.4827895
 28.23 -11893.6650186      6.4391368
 27.89 -11866.3036636      6.3644849
 27.53 -12050.5126391      6.5885879
 27.14 -11041.9745560      6.4135857
 26.73 -11033.8863190      6.3405795
 26.29 -12114.1556695      6.5184020
 25.82 -11362.1491667      6.3924430
 25.33 -11762.6196618      6.3355335
 24.81 -11484.7140678      6.5546683
 24.27 -11763.8205144      6.5158205
 23.70 -11276.7053157      6.4118502
 23.12 -10963.7767533      6.4558311
 22.50 -11110.0032624      6.4041577
 21.87 -12025.2035003      6.4241347
 21.21 -11572.4674547      6.4174374
 20.54 -11922.7027876      6.4475085
 19.84 -11185.8108289      6.3695392
 19.12 -12374.2550124      6.2905440
 18.39 -11519.6555673      6.4943791
 17.63 -11687.9789930      6.4518147
 16.86 -12210.4131885      6.4174745
 16.07 -12262.8239361      6.4314766
 15.27 -11118.9365445      6.4896097
 14.45 -12372.9262486      6.3782863
 13.62 -11751.0663157      6.4998487
 12.77 -11181.8125203      6.5023194
 11.91 -10998.9332978      6.3912079
 11.04 -11501.0318709      6.4536363
 10.16 -11243.3062369      6.3399657
  9.27 -12226.7422719      6.5185765
  8.37 -12474.9355569      6.5011168
  7.46 -11261.8360453      6.4712872
  6.54 -11283.0237624      6.4694873
  5.62 -11894.6767774      6.3728352
  4.69 -11828.7025126      6.5832556
  3.76 -11659.7739878      6.3234304
  2.82 -11144.4304732      6.4103533
  1.88 -11468.5034910      6.4089274
  0.94 -11588.4323505      6.4679729
  0.00 -11397.6398171      6.4677310
 -0.94 -11180.5512687      6.4792619
 -1.88 -12189.0329301      6.5410014
 -2.82 -10514.6244033      6.4819203
 -3.76 -11751.2064488      6.4285249
 -4.69 -11249.3040668      6.3951717
 -5.62 -10762.8090164      6.4521586
 -6.54 -11006.8302015      6.2958113
 -7.46 -12131.0139485      6.5627896
 -8.37 -11680.6311072      6.5623594
 -9.27 -11869.0654427      6.4550088
-10.16 -10856.7208968      6.3982142
-11.04 -11282.1019760      6.4154159
-11.91 -11091.7311234      6.5277416
-12.77 -12180.6412064      6.4451715
-13.62 -11755.7853860      6.4244608
-14.45 -11980.1043582      6.4570753
-15.27 -11524.4177038      6.4411232
-16.07 -11874.8199506      6.4845269
-16.86 -11942.7962345      6.4675744
-17.63 -10791.1292078      6.4620925
-18.39 -11878.6499592      6.3521853
-19.12 -12245.5250953      6.4955001
-19.84 -11983.2231944      6.5342302
-20.54 -10856.8908579      6.4987945
-21.21 -11548.6224336      6.4513852
-21.87 -11114.2477658      6.5543480
-22.50 -11399.3437679      6.4652479
-23.12 -12032.0940006      6.4905653
-23.70 -11573.0733017      6.4656407
-24.27 -12189.0304916      6.3636482
-24.81 -11799.3492697      6.4253765
-25.33 -10256.4704041      6.5179093
-25.82 -11461.6310241      6.3626542
-26.29 -11468.1714177      6.3796980
-26.73 -11461.1268349      6.5730314
-27.14 -11567.6315840      6.5166883
-27.53 -11744.1801478      6.4770740
-27.89 -12026.4646941      6.3135730
-28.23 -11659.4002376      6.4304167
-28.53 -12059.2100559      6.3928750
-28.81 -10926.5079910      6.3456825
-29.06 -11456.7233700      6.3717234
-29.28 -11390.8904155      6.4150209
-29.47 -11638.3657322      6.4339382
-29.63 -11388.9436209      6.5217978
-29.76 -11714.4749634      6.5169377
-29.87 -11859.2049420      6.4617558
-29.94 -12044.4239764      6.4726899
-29.99 -10885.1442189      6.5820946
-30.00 -11853.3393782      6.3538317
