10	0.512007	0.669358	0.736343
10.1	0.482984	0.701723	0.724348
10.2	0.510578	0.642259	0.723825
10.3	0.48142	0.676742	0.752955
10.4	0.509177	0.683576	0.741412
10.5	0.500512	0.655866	0.718161
10.6	0.520293	0.67119	0.729624
10.7	0.472371	0.670142	0.757694
10.8	0.489696	0.656937	0.743663
10.9	0.502827	0.672557	0.7243
11	0.48265	0.676135	0.778
11.1	0.516356	0.682829	0.730957
11.2	0.491181	0.70744	0.762587
11.3	0.50339	0.642606	0.721228
11.4	0.498241	0.6824	0.769602
11.5	0.502765	0.685445	0.719681
11.6	0.49244	0.693688	0.740655
11.7	0.501878	0.650514	0.726158
11.8	0.480398	0.668268	0.71346
11.9	0.500651	0.689024	0.734037
12	0.480029	0.669212	0.725859
12.1	0.485664	0.682916	0.720041
12.2	0.502343	0.674562	0.737466
12.3	0.498954	0.668703	0.749448
12.4	0.498762	0.669722	0.719928
12.5	0.491918	0.665358	0.713476
12.6	0.491816	0.685501	0.742419
12.7	0.503968	0.660142	0.716988
12.8	0.48941	0.651089	0.732789
12.9	0.491717	0.699256	0.722641
13	0.480148	0.689511	0.744119
13.1	0.507595	0.638683	0.72418
13.2	0.475975	0.679126	0.749897
13.3	0.470457	0.650885	0.749094
13.4	0.493271	0.68329	0.731903
13.5	0.506623	0.687818	0.724218
13.6	0.504164	0.6884	0.711857
13.7	0.502691	0.661867	0.732887
13.8	0.4967	0.687365	0.743094
13.9	0.502384	0.649089	0.716097
14	0.507329	0.656128	0.732621
14.1	0.500673	0.666455	0.736046
14.2	0.471413	0.702221	0.742413
14.3	0.500325	0.685944	0.75157
14.4	0.491721	0.647502	0.740364
14.5	0.511053	0.648745	0.697125
14.6	0.501576	0.676584	0.706084
14.7	0.487149	0.668729	0.735912
14.8	0.500782	0.651887	0.720925
14.9	0.501407	0.667985	0.744535
15	0.478238	0.659206	0.746082
15.1	0.500255	0.665939	0.744965
15.2	0.487336	0.671242	0.764296
15.3	0.501812	0.651	0.711077
