  1.82     -0.2602565     -0.2790307      0.0005974     -0.2738296      0.0005971      0.0402428      0.0001663
  1.85     -0.2102255     -0.2304076      0.0007162     -0.2246415      0.0007161      0.0395476      0.0001648
  1.88     -0.2062206     -0.2292639      0.0007769     -0.2240863      0.0007790      0.0382581      0.0001654
  1.92     -0.3039636     -0.3367641      0.0003479     -0.3307240      0.0003481      0.0380566      0.0001652
  1.95     -0.2665445     -0.3019167      0.0005022     -0.2957085      0.0005007      0.0384939      0.0001661
  1.98     -0.2168241     -0.2524073      0.0007396     -0.2451557      0.0007402      0.0373257      0.0001648
  2.01     -0.2983087     -0.3466438      0.0003432     -0.3392592      0.0003430      0.0360374      0.0001631
  2.04     -0.2928328     -0.3468251      0.0003584     -0.3386164      0.0003604      0.0356629      0.0001627
  2.07     -0.2945192     -0.3557587      0.0003045     -0.3479822      0.0003039      0.0357744      0.0001603
  2.10     -0.2805246     -0.3464729      0.0003676     -0.3377838      0.0003685      0.0347697      0.0001643
  2.14     -0.2872679     -0.3621375      0.0002950     -0.3526363      0.0002976      0.0345165      0.0001630
  2.17     -0.2744601     -0.3543760      0.0003360     -0.3449561      0.0003372      0.0331576      0.0001622
  2.20     -0.2786253     -0.3684748      0.0003023     -0.3587265      0.0003014      0.0331363      0.0001637
  2.23     -0.2741706     -0.3703172      0.0003114     -0.3589109      0.0003108      0.0300819      0.0001612
  2.26     -0.2655389     -0.3697656      0.0003046     -0.3582671      0.0003075      0.0303885      0.0001631
  2.29     -0.2593765     -0.3718154      0.0003234     -0.3593515      0.0003257      0.0295266      0.0001629
  2.32     -0.2525676     -0.3728389      0.0002777     -0.3597615      0.0002784      0.0280773      0.0001607
  2.36     -0.2436300     -0.3727096      0.0002826     -0.3603279      0.0002851      0.0281648      0.0001625
  2.39     -0.2412531     -0.3814725      0.0002621     -0.3686034      0.0002637      0.0272752      0.0001598
  2.42     -0.2370181     -0.3884211      0.0002441     -0.3748024      0.0002434      0.0264619      0.0001620
  2.45     -0.2289766     -0.3900161      0.0002310     -0.3769001      0.0002330      0.0254753      0.0001598
  2.48     -0.2081425     -0.3692650      0.0003847     -0.3548967      0.0003868      0.0230115      0.0001638
  2.51     -0.2132390     -0.3955455      0.0002117     -0.3811942      0.0002116      0.0238028      0.0001615
  2.54     -0.2058256     -0.3971677      0.0002209     -0.3824668      0.0002212      0.0210569      0.0001584
  2.58     -0.1927325     -0.3920808      0.0002472     -0.3763822      0.0002465      0.0205548      0.0001593
  2.61     -0.1862310     -0.3973288      0.0002231     -0.3821582      0.0002259      0.0186186      0.0001579
  2.64     -0.1741512     -0.3940579      0.0002392     -0.3779750      0.0002400      0.0179020      0.0001602
  2.67     -0.1689451     -0.4049238      0.0002053     -0.3894467      0.0002079      0.0167074      0.0001579
  2.70     -0.1538925     -0.3980483      0.0002259     -0.3810661      0.0002272      0.0172278      0.0001614
  2.73     -0.1455509     -0.4008421      0.0002132     -0.3848031      0.0002132      0.0148653      0.0001601
  2.76     -0.1354322     -0.4013281      0.0002294     -0.3851399      0.0002290      0.0132360      0.0001594
  2.80     -0.1247507     -0.4031315      0.0002190     -0.3870107      0.0002187      0.0125469      0.0001622
  2.83     -0.1123813     -0.4021197      0.0002037     -0.3852229      0.0002050      0.0124919      0.0001621
  2.86     -0.1000173     -0.4007316      0.0002335     -0.3837983      0.0002331      0.0122704      0.0001613
  2.89     -0.0921224     -0.4067248      0.0002163     -0.3898385      0.0002158      0.0093187      0.0001591
  2.92     -0.0789326     -0.4032062      0.0002376     -0.3855357      0.0002385      0.0092468      0.0001577
  2.95     -0.0690153     -0.4059871      0.0002085     -0.3886026      0.0002093      0.0071863      0.0001584
  2.98     -0.0581721     -0.4092277      0.0002101     -0.3919356      0.0002097      0.0059181      0.0001610
  3.02     -0.0461677     -0.4054411      0.0002164     -0.3881304      0.0002179      0.0046845      0.0001600
  3.05     -0.0349088     -0.4061744      0.0002082     -0.3875217      0.0002106      0.0033304      0.0001614
  3.08     -0.0224409     -0.4047093      0.0002224     -0.3872446      0.0002236      0.0029769      0.0001605
  3.11     -0.0091574     -0.4105203      0.0002063     -0.3924129      0.0002061      0.0037392      0.0001606
  3.14     -0.0007372     -0.4060375      0.0002060     -0.3890472      0.0002057     -0.0007372      0.0001589
 
----------------------------------------------------------------------------------------------------------------
 hx = 30 cos theta, hy =0, hz = 30 sin theta, tau = (mx hz - mz hx) / h
