10	-41400.4
10.1	-37821.3
10.2	-37894.1
10.3	-37597
10.4	-38009.5
10.5	-37424.5
10.6	-38531.6
10.7	-37747.7
10.8	-38020.7
10.9	-37749.5
11	-38196.2
11.1	-37868.2
11.2	-38292.2
11.3	-37753.4
11.4	-38310.9
11.5	-37896.3
11.6	-37595.4
11.7	-37739.9
11.8	-37878.6
11.9	-38147.5
12	-38731.2
12.1	-38240.1
12.2	-37876.7
12.3	-38111.8
12.4	-37764.2
12.5	-38275.2
12.6	-38459.6
12.7	-38037.3
12.8	-38145.2
12.9	-38560.8
13	-38322
13.1	-37658
13.2	-38043.8
13.3	-38010.3
13.4	-37953.5
13.5	-38485.9
13.6	-38277.9
13.7	-37918.8
13.8	-38106.3
13.9	-38290.2
14	-38570.1
14.1	-38366.2
14.2	-38086
14.3	-38459
14.4	-38213.5
14.5	-37864.8
14.6	-38010.1
14.7	-38611.3
14.8	-38125.7
14.9	-38526.3
15	-38354
15.1	-38222.8
15.2	-37844.2
15.3	-38077.5
15.4	-38722.2
15.5	-38808.9
15.6	-38401.9
15.7	-37983.2
15.8	-38304.9
15.9	-38128.7
16	-38621.1
16.1	-38110.3
16.2	-38283.2
16.3	-38100
16.4	-38562.3
16.5	-38833.6
16.6	-39164
16.7	-38793.7
16.8	-38598.2
16.9	-39055.8
17	-39042.8
17.1	-38355.2
17.2	-38227.1
17.3	-39109.1
17.4	-38687.2
17.5	-38650
17.6	-38326.9
17.7	-38300.5
17.8	-38502.1
17.9	-38210.9
18	-38857.8
18.1	-38384.8
18.2	-38718
18.3	-39058.2
18.4	-38511.6
18.5	-38309.4
18.6	-38125.2
18.7	-38742.5
18.8	-38533.6
18.9	-38451.8
19	-38487
19.1	-37842.3
19.2	-38612
19.3	-38646.4
19.4	-39039.8
19.5	-38334.6
19.6	-38835.8
19.7	-38987.3
19.8	-38591.5
19.9	-39006
20	-37377.3
20.1	-42299.5
20.2	-38720.5
20.3	-38779
20.4	-38607.9
