 20.00 -35597.5693666      3.1590268
 20.50 -32392.4938649      3.1448168
 21.00 -32220.3763177      3.1671381
 21.50 -32385.9759769      3.1624604
 22.00 -32239.1905262      3.1662818
 22.50 -31921.6790015      3.1580037
 23.00 -32121.1112565      3.1494378
 23.50 -31981.0693695      3.1627511
 24.00 -32648.2759023      3.1528607
 24.50 -32252.1930914      3.1599077
 25.00 -32495.5420808      3.1413838
 25.50 -32530.5209301      3.1630507
 26.00 -32840.9822006      3.1761310
 26.50 -32828.1896464      3.1447412
 27.00 -32674.3893401      3.1708792
 27.50 -32792.7357034      3.1875403
 28.00 -32299.6767458      3.1890945
 28.50 -32839.0954634      3.1565190
 29.00 -32981.5696163      3.1658269
 29.50 -32416.1965433      3.1530967
 30.00 -32784.5331795      3.1745750
 30.50 -32804.3110961      3.1705731
 31.00 -33081.1166835      3.1938361
 31.50 -33064.9867482      3.1590763
 32.00 -32946.4842639      3.1784929
 32.50 -32973.6539565      3.1766638
 33.00 -33221.7028126      3.1594493
 33.50 -33318.8346585      3.1676675
 34.00 -33139.4795085      3.1652021
 34.50 -32822.9846467      3.1837236
 35.00 -32825.6417667      3.1553317
 35.50 -33108.2814586      3.1682512
 36.00 -33573.6841740      3.1677613
 36.50 -33327.4924636      3.1857502
 37.00 -33137.2279984      3.1750833
 37.50 -33375.0694877      3.1753034
 38.00 -33118.3311186      3.2016975
 38.50 -33433.3279810      3.1847841
 39.00 -33649.8435789      3.1813620
 39.50 -33388.5364158      3.1917103
 40.00 -33270.2846201      3.1990292
 40.50 -33502.0924010      3.1967629
 41.00 -33660.9372147      3.1817532
 41.50 -33379.0245926      3.1777831
 42.00 -33787.3713000      3.1937046
 42.50 -33638.6557953      3.1985095
 43.00 -33732.9402945      3.1664738
 43.50 -33878.8918600      3.1869146
 44.00 -33657.3881817      3.1692776
 44.50 -33550.1205944      3.1939467
 45.00 -34077.0423687      3.2054389
 45.50 -33820.7658024      3.1624660
 46.00 -33844.7698105      3.2097522
 46.50 -34210.0326219      3.1964511
 47.00 -33828.0755154      3.2065050
 47.50 -34155.1787629      3.1915648
 48.00 -33778.0796372      3.1825335
 48.50 -34257.1982707      3.2040584
 49.00 -34264.0118600      3.2004330
 49.50 -34220.6632957      3.2254548
 50.00 -33991.2196144      3.2059269
 50.50 -33636.8975580      3.2148945
 51.00 -34323.9289912      3.1945262
 51.50 -34198.9102994      3.2120082
 52.00 -34292.9779753      3.2114893
 52.50 -34580.0283762      3.2023393
 53.00 -34325.0507497      3.2048246
 53.50 -34246.5507707      3.2208096
 54.00 -34549.5285971      3.2056485
 54.50 -34292.3606302      3.2129290
 55.00 -34332.4180779      3.2270154
 55.50 -34309.2409868      3.2028245
 56.00 -34862.1774240      3.2354792
 56.50 -34592.6782029      3.2216737
 57.00 -34585.4335627      3.2235622
 57.50 -34396.6264894      3.1940882
 58.00 -34657.3064844      3.2116129
 58.50 -34743.9686458      3.2135288
 59.00 -34445.5727667      3.2090176
 59.50 -34663.2307171      3.2036228
 60.00 -34774.4123227      3.2249236
 60.50 -34902.3902928      3.2212215
 61.00 -34866.7642699      3.2140744
 61.50 -34761.8486737      3.2303885
 62.00 -34719.3620053      3.2278942
 62.50 -34621.8647920      3.2144327
 63.00 -35222.6284722      3.2437205
 63.50 -34970.6119916      3.2117100
 64.00 -34702.3863826      3.2416395
 64.50 -34737.4043249      3.2291151
 65.00 -35480.4629715      3.2468628
 65.50 -35245.3256136      3.2314548
 66.00 -34903.7107517      3.2300253
 66.50 -35109.6012382      3.2258030
 67.00 -35093.0620561      3.2250718
 67.50 -35003.6413837      3.2349042
 68.00 -35425.6961889      3.2333934
 68.50 -35479.5767743      3.2349076
 69.00 -35409.6637407      3.2356591
 69.50 -35173.9068732      3.2416829
 70.00 -35289.3835847      3.2157805
 70.50 -35266.4005265      3.2268272
 71.00 -35479.7775082      3.2472007
 71.50 -35359.1909480      3.2295549
 72.00 -35873.8218920      3.2552698
 72.50 -35640.0106367      3.2450671
 73.00 -35665.6571671      3.2418644
 73.50 -35807.4931173      3.2582062
 74.00 -35380.7199109      3.2415589
 74.50 -35714.6245606      3.2393678
 75.00 -36131.7221966      3.2474624
 75.50 -35783.3362799      3.2510699
 76.00 -35412.5797461      3.2302349
 76.50 -36101.8612108      3.2475795
 77.00 -35881.0148322      3.2432922
 77.50 -36140.4157274      3.2705053
 78.00 -36145.3349986      3.2452211
 78.50 -36022.1312048      3.2534412
 79.00 -36486.0564031      3.2713123
 79.50 -36107.8558682      3.2495969
 80.00 -35971.3683505      3.2462651
 80.50 -36141.6764727      3.2568392
 81.00 -36008.1346077      3.2794417
 81.50 -36321.8426363      3.2299305
 82.00 -36092.7725707      3.2836786
 82.50 -36160.3429855      3.2786901
 83.00 -36490.6576337      3.2798198
 83.50 -36302.0260465      3.2681536
 84.00 -36428.4579297      3.2661251
 84.50 -36537.3773861      3.2701647
 85.00 -36461.2756625      3.2622537
 85.50 -36645.2399891      3.2712318
 86.00 -36386.1853797      3.2655787
 86.50 -36392.7103702      3.2589648
 87.00 -36488.9826464      3.2709802
 87.50 -36758.9372157      3.2603735
 88.00 -36730.7625268      3.2728596
 88.50 -36692.7249043      3.2748761
 89.00 -36634.4229872      3.2632392
 89.50 -36886.7364163      3.2772138
 90.00 -37004.9068454      3.2713162
 90.50 -36735.2264254      3.2814573
 91.00 -36817.0128496      3.2805160
 91.50 -37012.7720598      3.2680895
 92.00 -37051.2981684      3.3029859
 92.50 -36837.8408478      3.2818655
 93.00 -36856.8062870      3.2878567
